name,display_name,lat,lon,height_m
Stob Dubh (Buachaille Etive Beag),Stob Dubh (Buachaille Etive Beag),56.63817,-4.97077,958
Stob Ghabhar,Stob Ghabhar,56.56812,-4.88212,1090
Stob Poite Coire Ardair,Stob Poite Coire Ardair,56.96406,-4.58578,1054
Stob a' Choire Mheadhoin,Stob a' Choire Mheadhoin,56.8237,-4.76019,1105
Stob a' Choire Odhair,Stob a' Choire Odhair,56.57333,-4.83832,945
Stob na Broige (Buachaille Etive Mor),Stob na Broige (Buachaille Etive Mor),56.6299,-4.95117,953
Stuc a' Chroin,Stuc a' Chroin,56.32932,-4.23755,973
Stuc an Lochain [Stuchd an Lochain],Stuc an Lochain [Stuchd an Lochain],56.57092,-4.47062,960
The Cairnwell,The Cairnwell,56.87953,-3.4212,933
The Devil's Point,The Devil's Point,57.03572,-3.6888,1007
The Saddle,The Saddle,57.16242,-5.41473,1012
Toll Creagach,Toll Creagach,57.30925,-4.99996,1054
Tolmount,Tolmount,56.90475,-3.29794,958
Tom Buidhe,Tom Buidhe,56.89363,-3.29236,957
Tom a' Choinich,Tom a' Choinich,57.29954,-5.04897,1112
Tom na Gruagaich (Beinn Alligin),Tom na Gruagaich (Beinn Alligin),57.58054,-5.58191,922
